X1,X2,Y
93,36,1
72,85,1
72,5,0
45,65,1
9,89,0
70,7,0
91,89,1
59,72,1
55,88,1
57,7,0
9,8,0
14,41,0
53,25,0
71,31,1
49,64,1
6,33,0
55,34,0
81,53,1
75,54,1
30,91,1
35,58,0
94,22,1
1,21,0
66,31,0
74,8,0
70,74,1
28,24,0
59,99,1
23,30,0
58,68,1
90,73,1
90,97,1
45,30,0
81,33,1
83,65,1
55,90,1
39,73,1
16,49,0
43,37,0
23,40,0
91,77,1
40,43,0
40,0,0
76,7,0
84,9,0
23,28,0
77,50,1
82,45,1
32,6,0
77,70,1
78,8,0
43,46,0
49,12,0
16,90,1
78,54,1
35,72,1
30,84,1
76,57,1
25,83,1
15,51,0
48,60,1
31,53,0
39,58,0
21,82,1
96,68,1
2,12,0
94,78,1
85,91,1
34,88,1
22,53,0
2,34,0
83,89,1
71,79,1
64,45,1
40,10,0
19,40,0
4,37,0
67,67,1
26,74,1
79,19,0
59,31,0
5,68,0
89,76,1
12,52,0
11,25,0
64,21,0
95,32,1
40,40,0
71,7,0
70,93,1
43,5,0
11,91,1
9,100,1
64,23,0
17,47,0
49,60,1
6,18,0
67,90,1
47,44,0
29,65,0
